rate,F1_micro,F1_macro
0.1,0.39111111111111113,0.29990696531451666
0.2,0.427,0.34709426993824144
0.3,0.424,0.3485248843435036
0.4,0.4493333333333333,0.3834161607305336
0.5,0.4592,0.3814527743726036
0.6,0.46,0.4085831236531554
0.7,0.4202127659574469,0.361131965327626
0.8,0.424,0.3817339130408147
0.9,0.39200000000000007,0.37643546905013103
